NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
56,Focused,林文庆,Lim Boon Keng,,1869,1957,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1WGpZVy6U7U&label=Lim,%20Boon%20Keng"
57,Focused,陈武烈,Tan Boo Liat,,1874,1934,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/yMyJnjVo5gY&label=Tan,%20Boo%20Liat"
58,Related,杨骚,Nil,,Nil,Nil,闽/Hokkien,"福建省漳州/Zhangzhou, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
59,Related,吴应隆,Nil,,Nil,Nil,闽/Hokkien,"福建省诏安县/Chun'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
60,Focused,吴寿珍,Goh Siew Tin,,1854,1909,闽/Hokkien,"福建省诏安县/Chun'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/aSmFqnKYqrM&label=Goh,%20Siew%20Tin"
61,Related,薛永黍,Nil,,Nil,Nil,闽/Hokkien,"福建省金门/Jinmen, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
62,Related,洪丝丝,Nil,,Nil,Nil,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
63,Related,王源兴,Nil,,Nil,Nil,闽/Hokkien,"福建省龙岩县/Longyan County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
64,Focused,侯西反,Hau Say-huan,,1883,1944,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/8KYLQuJq13Y&label=Hau,%20Say-huan"
65,Related,李约瑟,Nil,,Nil,Nil,暂无/Nil,英国/United Kingdom,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
66,Focused,白清泉,Pek Cheng Chuan,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/bjERHPcpnBo&label=Pek,%20Cheng%20Chuan"
