NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,﻿person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
199,Focused,吴胜鹏,C00931,吴胜鹏,wu sheng peng,1873,1951,,,,广东,恩平,,,
200,Focused,吴水阁
201,Focused,吴秀水,C00937,吴秀水,wu xiu shui,? ,1892,中国,,,福建,诏安,,,
202,Focused,吴在炎
203,Focused,萧保龄,C01811,萧保龄,xiao bao ling ,,,,,,福建,,,,
204,Focused,谢安祥,C00950,谢安祥,xie an xiang,1832,1892,马来西亚,马六甲,,福建,,,,
205,Focused,谢荣西,C00196,谢荣西,xie rong xi,1881,1942,,,,福建,惠安,,,
206,Focused,徐长怀,C00973,徐长怀,xu chang huai,? ,1861,,,,福建,,,,
207,Focused,许宏博
208,Focused,许甦吾,C00996,许甦吾,xu su wu,1908,1988,,,,福建,惠安,,,
209,Focused,许云樵,C01007,许云樵,xu yun qiao,1905,1981,中国,江苏,吴县,江苏,无锡,,,
210,Focused,薛佛记,C01010,薛佛记,xue fo ji,1793,1847,马来西亚,马六甲,,福建,东山,,,
211,Focused,薛茂元,C01011,薛茂元,xue mao yuan,? ,1879,马来西亚,马六甲,,福建,东山,,,
212,Focused,薛荣樾,C01014,薛荣樾,xue rong yue,1826,1884,马来西亚,马六甲,,福建,东山,,,
213,Focused,薛文仲,C01015,薛文仲,xue wen zhong,约1807,1888,马来西亚,马六甲,,福建,漳州,,,
214,Focused,薛有礼,C00048,薛有礼,xue you li,1851,1906,,,,福建,东山,,,
215,Focused,颜永成,C01220,颜永成,yan yong cheng ,,,,,,福建,海澄,,,
216,Focused,杨瑞初,C01024,杨瑞初,yang duan cu,1909,1984,中国,,,山西,,,,
217,Focused,杨天恩
218,Focused,姚紫,C01052,姚紫,yao zi,1924,1982,,,,福建,福州,,,
219,Focused,叶畅芬,C01054,叶畅芬,ye chang fen,1903,1989,香港,,,广东,东莞,,,
220,Focused,叶季允,C01057,叶季允,ye ji yun,1859,1921,,,,安徽,,,,
221,Focused,叶平玉,C01059,叶平玉,ye ping yu,1901,1979,马来西亚,柔佛,和平港,广东,普宁,,,
222,Focused,叶之威,C01061,叶之威,ye zhi wei,1915,1981,,,,福建,福州,,,
223,Focused,殷碧霞,C01063,殷碧霞,yin bi xia,1884,1972,中国,厦门,鼓浪屿,江苏,常熟,,,
224,Focused,殷雪村,C00211,殷雪村,yin xue chun,1876,1958,中国,厦门,鼓浪屿,江苏,常熟,,,
225,Focused,余东璇,C00023,余东璇,yu dong xuan ,1877,1941,马来西亚 ,槟榔屿,,广东省 ,佛山,,,
226,Focused,云英杰,C01069,云英杰,yun ying jie,1834,1919,,,,——,,,,
227,Focused,曾锦文,C00051,曾锦文,zeng jing wen,1851,1920,马来西亚 ,槟城,,福建,,,,
228,Focused,章芳琳,C00052,章芳琳,zhang fang lin,1825,1893,新加坡,,,福建,海澄,,,
229,Focused,张汉三,C01102,张汉三,zhang han san,1897,1965,,,,广东,潮阳,,,
230,Focused,张礼千,C01110,张礼千,zhang li qian,1897,1954,,,,江苏,南汇,,,
231,Focused,张梦生,C01111,张梦生,zhang meng sheng,1899,1977,,,,广东,大埔,,,
232,Focused,张汝器,C01119,张汝器,zhang ru qi,1904,1942,,,,广东,潮安,,,
233,Focused,赵玉山
234,Focused,郑古悦,C00220,郑古悦,zheng gu yue,1880,1949,,,,福建,金门,,,
235,Focused,郑章远,C01148,郑章远,zheng szhang yuan,1926,1984,,,,福建,南安,,,
236,Focused,周如切,C00054,周如切,zhou ru qie,? ,1926,,,,,,,,
237,Focused,周润亨
238,Focused,周文礼
239,Focused,周星衢,C00024,周星衢,zhou xing qu ,1905,1986,中国,上海,,浙江省 ,平湖县,,,
240,Focused,周镇豪,C01174,周镇豪,zhou zhen hao,1913,1980,中国,,,广东,澄海,,,
241,Focused,周子敬
242,Focused,庄庆利,C01194,庄庆利,zhuang qing li,1859,1934,马来西亚,马六甲,,福建,,,,
243,Focused,庄竹林,C01197,庄竹林,zhuang zhu lin,1900,1973,,,,福建,惠安,,,
244,Focused,左秉隆,C01200,左秉隆,zuo bing long,1850,1924,,,,辽宁,沈阳,,,
245,Focused,佘松城,C00821,佘松城,she song cheng,? , 1910年代,,,,广东,澄海,,,
246,Related,林长华,C00658,林长华,lin chang hua,,,,,,,,,,
247,Related,谢佛添,C00955,谢佛添,xie fo tian,,,,,,,,,,
248,Related,李天来,C02007,李天来,li tian lai ,,,,,,福建,晋江,,,
249,Related,蔡开云,C00257,蔡开云,cai yun kai,? ,1865,马来西亚 ,马六甲,,福建,,,,
250,Related,蔡润贤,C00252,蔡润贤,cai run xian,,,,,,福建,,,,
251,Related,梁亚胜,C00644,梁亚胜,liang ya sheng,,,,,,广东,中山,,,
252,Related,莱佛士
253,Related,曹家馆当事人
254,Related,陈景华,C00298,陈景华,chen jing hua,,,,,,广东,潮安,,,
255,Related,阮文发,C00811,阮文发,ruan wen fa,?,1883,马来西亚 ,马六甲 ,,,,,,
256,Related,李清池,C00607,李清池,li qing chi,1833,1901,马来西亚 ,马六甲 ,,福建,永春,,,
257,Related,陈亚汉
258,Related,陈纯道,C00272,陈纯道,chen chun dao ,1854,1891,,,,福建,海澄,,,
259,Related,蔡春茂
260,Related,陈景瑞,C00299,陈景瑞,chen jing rui,,,,,,广东,潮安,,,
261,Related,张礼,C01109,张礼,zhang li,1833,1899,新加坡,,,广东,饶平,,,
262,Related,郭爱文,C00430,郭爱文,guo ai wen,? ,1892,,,,,,,,
263,Related,蔡茂春,C00247,蔡茂春,cai mao chun,约1819,1879,,,,广东,潮阳,,,
264,Related,沈联芳,C00832,沈联芳,shen lian fang,1850,1921,,,,广东,潮安,,,
265,Related,陈连水
266,Related,陈成章
267,Related,陈连南
268,Related,康有为
269,Related,梁启超
270,Related,吴世荣,C01236,吴世荣,wu shi rong ,1875,1945,,,,福建,海澄,,,
271,Related,留鸿石,C00166,留鸿石,liu hong shi,? ,1922,,,,福建,,,,
272,Related,叶敦仁
273,Related,谢有祥
274,Related,洪福彰,C01396,洪福彰,hong fu zhang ,,,,,,福建,海澄,,,
275,Related,王锦威,C00880,王锦威,wang jin wei ,1850,1913,,,,福建,南安,,,
276,Related,许山兴,C00993,许山兴,xu shan xing,? ,1929,,,,福建,,,,
277,Related,陈霞娘
278,Related,杨佛生,C01026,杨佛生,yang fo sheng,,,,,,福建,,,,
279,Related,陈有郎
280,Related,陈季騧
281,Related,陈季随,C00296,陈季随,chen ji sui,1880,1937,,,,福建,海澄,,,
282,Related,陈瑞林,C00334,陈瑞林,chen rui lin,,,,,,福建,海澄,,,
283,Related,陈德源
284,Related,陈维贤,C00350,陈维贤,chen wei xian,,,,,,福建,海澄,,,
285,Related,张炎,C00218,张炎,zhang yan,,,中国,,,福建,晋江,,,
286,Related,林生财,C00155,林生财,lin sheng cai,,,,,,,,,,
287,Related,黄木生,C00509,黄木生,huang mu sheng,,,,,,,,,,
288,Related,黄文德,C00526,黄文德,huang wen de,1850,1888,,,,,,,,
289,Related,黄金炎,C00502,黄金炎,huang jin yan,1855,1914,新加坡,,,广东,潮安,,,
290,Related,黄秉盛,C00492,黄秉盛,huang bing sheng,1905,1952,,,,广东,台山,,,
291,Related,陈六娘
292,Related,陈宝莉
293,Related,符气浩,C00096,符气浩,fu qi hao,? ,1931,,,,广东,文昌,,,
294,Related,曾举荐,C01076,曾举荐,zeng ju jian,,,,,,,,,,
295,Related,谢佛珊,C00954,谢佛珊,xie fo shan,1864,1925,,,,,,,,
296,Related,陈丰明
297,Related,詹振成,C01093,詹振成,zhan zhen cheng,? ,1844,,,,,,,,
298,Related,刘清泉,C00742,刘清泉,liu qing quan,,,,,,,,,,
299,Related,曾全福,C01081,曾全福,zeng quan fu,1849,1919,,,,广东,,,,
300,Related,邱文林,C00802,邱文林,qiu wen lin,,,,,,,,,,
301,Related,阮添寿
302,Related,许山治,C00994,许山治,xu shan zhi,,,,,,福建,,,,
303,Related,李庆庸,C00612,李庆庸,li qing yong,,,,,,,,,,
304,Related,佘石城,C00818,佘石城,she shi cheng,? ,1885,,,,广东,澄海,,,
305,Related,陈德娘,C00025,陈德娘,chen de niang,1877,1978,,,,福建,海澄,,,
306,Related,陈俊睦,C00306,陈俊睦,chen jun mu,1824,1880,,,,福建,海澄,,,
307,Related,陈俊善
308,Related,陈恭三,C00282,陈恭三,chen gong san,1861, ?,马六甲,,,福建,海澄,,,
309,Related,陈恭敬,C00281,陈恭敬,chen gong jing,? ,1915,,,,福建,海澄,,,
310,Related,林光瑗,C00667,林光瑗,lin guang yuan,? ,1869,马来西亚 ,马六甲,,,,,,
311,Related,林长水,C00659,林长水,lin chang shui,? ,1881,,,,,,,,
312,Related,林永庆,C00711,林永庆,lin yong qing,1837,1892,,,,福建,,,,
313,Related,陈明岩,C00319,陈明岩,chen ming yan,1832,1893,,,,福建,永春,,,
314,Related,杨如陵,C01039,杨如陵,yang ru ling,1906, ? ,,,,广东,大埔,,,
315,Related,林景烈
316,Related,陈玉合,C02393,陈玉合,chen yu he ,,,,,,广东,普宁,,,
317,Related,杨鸿泰
318,Related,陈若铨
319,Related,陈振盛,C00379,陈振盛,chen zhen sheng,? ,1882,,,,,,,,
320,Related,洪俊成,C00457,洪俊成,hong jun cheng,1805,1852,马来西亚 ,马六甲,,福建,,,,
321,Related,洪捷发,C00453,洪捷发,hong jie fa,,,,,,,,,,
322,Related,章三潮,C01120,章三潮,zhang san chao ,,,,,,福建,海澄,,,
323,Related,沈阿溪
324,Related,黄宗山
325,Related,黄祥达,C00533,黄祥达,huang xiang da,1875,1901,,,,,,,,
326,Related,郑玉瓞,C01151,郑玉瓞,zheng yu die,1832,1893,马来西亚,马六甲,,福建,漳州,,,
327,Related,陈明远,C00320,陈明远,chen ming yuan,1851,1891,,,,,,,,
328,Related,陈庆照,C00327,陈庆照,chen qing zhao,,,,,,,,,,
329,Related,泰王
330,Related,陈德道
331,Related,陈季良
332,Related,龚光传,C00424,龚光传,gong guang chuan,1790,1854,,,,福建,漳州,,,
333,Related,陈静雅,C00303,陈静雅,chen jing ya,,,,,,福建,海澄,,,
334,Related,龚菽惠,C00425,龚菽惠,gong shu hui,1839,1888,,,,福建,漳州,,,
335,Related,蔡绵溪,C00244,蔡绵溪,cai jing xi,1836,1903,马来西亚 ,马六甲,,福建,海澄,,,
336,Related,陈文确,C00085,陈文确,chen wen que,1886,1966,,,,福建,同安,,,
337,Related,谢源英,C00966,谢源英,xie yuan ying,? ,1911,,,,,,,,
338,Related,陈思源,C00345,陈思源,chen si yuan,,,,,,福建,永春,,,
339,Related,李庆烈
