objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
60,110.000000000000000,Cilian Tang,慈莲堂,慈蓮堂,Cher Lian Tong Buddhist Temple ,23 Bangkit Road  679972,679972,23 BANGKIT ROAD,21365.938488910000000,40017.989899530003000,103.773706670000000,1.378182250000000,,6765 5596,"千手千眼观世音菩萨, 观世音菩萨",广东省,广东省 潮州市,,,1,"正華慈聖宮

1. 正華慈聖宮
2. 慈蓮堂
3. 木山聖母宮
4. 木山宮
5. 忠義殿",0110
137,218.000000000000000,Fohai Jiushi Tang ,佛海救世堂,佛海救世堂,Fohai Jiushi Tang ,74 Lorong 19 Geylang Road  388510,388510,72 LORONG 19 GEYLANG,33107.134150029997000,33062.566299550002000,103.879208750000000,1.315280200000000,,,,NA,NA,,,0,NA,NA
133,212.000000000000000,Fengtu Miao ,凤图庙,鳳圖廟,Hong Tho Bilw Temple ,31 Marsiling Industrial Estate Road 3 739255,739255,31 MARSILING INDUSTRIAL ESTATE ROAD 3,22369.948242380000000,46822.919026240001000,103.782727110000000,1.439723770000000,,6368 2301,关帝圣君,福建省,福建省 泉州市 安溪县,,,1,"風圖廟聯合廟

1. 鳳圖廟聯合廟
2. 鳳圖廟
3. 觀音廟
4. 環圖廟
5. 花果山平安明德宮
6. 義星堂",NA
659,1016.000000000000000,Xuanshan Miao,玄山庙,玄山廟,Siang San Temple,21 Woodlands Industrial Park E7 757722,757722,21 WOODLANDS INDUSTRIAL PARK E4,23805.425591499999000,48059.130191889999000,103.795626070000000,1.450903860000000,1956,6365 2275,"玄天上帝, 关圣帝君",福建省,福建省,"Siang San Temple：Mandai Road Track 16 (13½ milestone)
Jiu Shi Tan：Mandai Road",,1,"天顯廟

1. 天顯廟
2. 萬禮蓮合殿
3. 玄山廟救世壇
4. 玄山廟
5. 救世壇",NA
485,753.000000000000000,Shenggong Gong ,圣公宫,聖公宮,Shenggong Gong ,BLK 122 Sengkang East Way #01-03 540122,540122,122 SENGKANG EAST WAY,36171.025784459998000,40943.460985010002000,103.906741490000000,1.386551490000000,,,,NA,NA,,,0,NA,NA
206,312.000000000000000,Guanzhong Shancai Tan ,观中善财坛,觀中善財壇,Guanzhong Shancai Tan ,BLK62 Telok Blangah Height #05-205 100062,100062,62 TELOK BLANGAH HEIGHTS,25527.989015259998000,28635.691830849999000,103.811106659999990,1.275245430000000,,,,NA,NA,,,0,NA,NA
608,929.000000000000000,Wusheng Gong,五圣宫,五聖宫,Wu Sheng Gong Society,"Blk 9002 Tampines St 93, #02-72 528836",528836,9002 TAMPINES STREET 93,40049.016156769998000,35889.505628810002000,103.941586120000000,1.340844050000000,,,,NA,NA,,,0,NA,NA
330,508.000000000000000,Longde Fotang,龙德佛堂,龍德佛堂,Leng Teck Hood Yee Temple,36 Jalan Kembangan 419110,419110,36 JALAN KEMBANGAN,36978.471710320002000,33793.992791969999000,103.913994860000000,1.321894070000000,,,,NA,NA,,,0,NA,NA
141,222.000000000000000,Fojiaohui ,佛教会,佛教會,Buddhist Union,28 Jalan Senyum 418152,418152,28 JALAN SENYUM,37056.070315270001000,33778.794662259999000,103.914692120000000,1.321756600000000,,6241 9419 ,释迦牟尼佛,福建省,福建省,,,0,NA,NA
95,156.000000000000000,Dejiaohui Ziying Ge,德教会紫盈阁,德教會紫盈閣,"Che Wein Khor Moral Uplifting Society, Singapore",39 Jurong West Avenue 1 649518,649518,39 JURONG WEST AVENUE 1,15569.861750919999000,36986.422685890000000,103.721625990000010,1.350764010000000,1953,6560 1369,"济公活佛, 吕祖, 儒释道耶回五教教主, 五方星君, 德德社诸佛仙尊",广东省,广东省 潮州市,Chee Hwan Kog,,0,NA,NA
139,220.000000000000000,Fojiao Guji Zhongxin,佛教古蹟中心,佛教古蹟中心,Buddhist Heritage Centre,27 Jalan Senyum 418151,418151,27 JALAN SENYUM,37011.923129219998000,33764.025036389998000,103.914295430000000,1.321623040000000,,,,NA,NA,,,0,NA,NA
116,190.000000000000000,Fashi Lin,法施林,法施林,Fa Shi Lin Temple ,1 Lengkong Satu 417474,417474,1 LENGKONG SATU,36838.752457650000000,34197.130160219996000,103.912739530000000,1.325539940000000,,,释迦牟尼佛,广东省,广东省,,,0,NA,NA
74,130.000000000000000,Lantouxiang Dabogong,篮投巷大伯公,藍投巷大伯公,Lan Tou Xiang Tua Pek Kong Temple,36 Joo Avenue 219331,219331,36 JOO AVENUE,30383.619582820000000,33111.355746790003000,103.854736610000000,1.315721770000000,1967,,大伯公,NA,NA,,,0,NA,NA
50,94.000000000000000,Chuangjia Xiehui Zhongxin Yalong,创价协会中心 芽龙,創價協會中心  芽龍,Singapore Soka Centre Geylang,57 Lorong 18 Geylang 398827,398827,57 LORONG 18 GEYLANG,33306.276900659999000,32555.183755549999000,103.880998060000000,1.310691580000000,,,,NA,NA,,,0,NA,NA
66,121.000000000000000,Ciyunshan Gong,慈云山宮,慈雲山宮,Chee Hoon Sun Kong,525 Yishun Industrial Park A 768769,768769,525 YISHUN INDUSTRIAL PARK A,28280.319701810000000,47240.772930309999000,103.835837530000010,1.443503250000000,1973,,"黄老仙师, 齐天大圣, 太上老君",福建省,福建省 莆田市,,,1,"慈靈聯合廟

1. 慈靈聯合廟
2. 慈雲山宮
3. 昭靈廟（莆田江兜）",NA
30,57.000000000000000,Chan Zhi Yuan,禅之园 ,禪之園,Chan Zhi Yuan,98 Jalan Pintan  577140,577140,98 JALAN PINTAU,28775.282535390001000,37422.578580339999000,103.840284990000000,1.354711020000000,,6346 5010,,NA,NA,,,0,NA,NA
4,6.000000000000000,Aimin Gong,爱民宫,愛民宮,Aik Beng Keng,397 Bt Batok West Ave 8 658964,658964,397 BUKIT BATOK WEST AVENUE 8,17619.083580959999000,36585.968029579999000,103.740039650000000,1.347143220000000,1937,,"感应尊王, 麻府相公",福建省,福建省 泉州市 安溪县大阪村,Lorong Kapong (off Jalan Bahar),,0,NA,NA
138,219.000000000000000,Fojiao Ciji Jijinui,佛教慈济基金会   新加坡,佛教慈濟基金會,Buddhist Tzu Chi Foundation  Singapore,9 Elias Road 519937,519937,9 ELIAS ROAD,39796.072398030003000,39412.770608090002000,103.939314659999990,1.372707250000000,,6582 9958 ,释迦牟尼佛,福建省,福建省,,http://www.tzuchi.org.sg  ,0,NA,NA
